playerName,total_goals,matches,latest_match,home_goals,away_goals,own_goals,penalty_goals
Ēriks Raisters,1,1,1938-09-05,0,1,0,0
Enrique Sorrel,4,3,1941-02-02,4,0,0,1
Tiberio Godoy,3,2,1939-02-12,0,3,0,0
Marcial Barrios,8,7,1949-04-13,3,5,0,1
Ricardo Aquino,1,1,1939-01-15,0,1,0,0
Marino Alcívar,3,2,1942-02-05,0,3,0,0
Roberto Porta,12,11,1945-02-15,5,7,0,0
Pedro Lago,3,2,1939-02-05,0,3,0,0
Alfonso Domínguez,4,4,1989-09-03,2,2,1,0
Raúl Muñoz,1,1,1939-01-29,1,0,0,0
Roberto Luco,1,1,1939-01-29,1,0,0,0
